I,R0,R1,R2,Udrop,Ufin,Uinit,cellcap,dSoC,dltQ,name,nominal_soc,tau1,tau2,tau_pls,table_file
-3.39968111111111,0.0379551417391724,0.0127146855683257,0.00544318725535161,0.1164,3.735,3.7599,3.36,-0.0202361970899471,-244.77704,soc55_1Cdch_72sec,0.55,45.0006509768907,100,72,soc55_1Cdch_72sec.csv
-6.798855,0.0363111058479523,0.0137718898187168,0.00191403005931927,0.2332,3.7526,3.76,3.36,-0.005058671875,-61.189695,soc55_2Cdch_9sec,0.55,33.01667057113,100,9,soc55_2Cdch_9sec.csv
-6.79912527777778,0.0369053938353909,0.0127611224743765,0.00277723838716673,0.2333,3.7462,3.76,3.36,-0.0101177459490741,-122.384255,soc55_2Cdch_18sec,0.55,35.1110449114446,100,18,soc55_2Cdch_18sec.csv
-10.1991822222222,0.0360114928549336,0.0123813458425937,0.00179979253049612,0.3478,3.7493,3.7599,3.36,-0.00758867724867725,-91.79264,soc55_3Cdch_9sec,0.55,29.8789991770627,100,9,soc55_3Cdch_9sec.csv
1.69969222222222,0.0381249799666453,0.0211193609901318,0.00255183594422932,-0.0602,3.7605,3.7587,3.36,0.0012646519510582,15.29723,soc55_05Cchr_9sec,0.55,46.1254164362537,100,9,soc55_05Cchr_9sec.csv
1.69975333333333,0.0388288733037534,0.0181803480807912,0.00376065833359644,-0.0607000000000002,3.7602,3.7561,3.36,0.00252939484126984,30.59556,soc55_05Cchr_18sec,0.55,43.3847147727815,100,18,soc55_05Cchr_18sec.csv
1.69968347222222,0.0392346343607047,0.0166760015498208,0.00524881034761187,-0.0604999999999998,3.76,3.7524,3.36,0.00505858176256614,61.188605,soc55_05Cchr_36sec,0.55,45.8222530034217,100,36,soc55_05Cchr_36sec.csv
1.69977361111111,0.0388600936311166,0.0151927233362373,0.00671644678546882,-0.0592999999999999,3.7602,3.7464,3.36,0.0101177000661376,122.3837,soc55_05Cchr_72sec,0.55,49.2762642084262,100,72,soc55_05Cchr_72sec.csv
1.69983163194444,0.0385697159840564,0.0141345121053504,0.00799842767129723,-0.0581999999999998,3.7606,3.7357,3.36,0.0202360908564815,244.775755,soc55_05Cchr_144sec,0.55,55.8952780624336,100,144,soc55_05Cchr_144sec.csv
3.39969888888889,0.0364440706959742,0.0178528523025994,0.00238464169827758,-0.1164,3.7605,3.7563,3.36,0.00252953786375661,30.59729,soc55_1Cchr_9sec,0.55,37.1623728497015,100,9,soc55_1Cchr_9sec.csv
3.39972916666667,0.0368521335432486,0.0166005939915718,0.00353799037215502,-0.116,3.7602,3.7526,3.36,0.00505912078373016,61.195125,soc55_1Cchr_18sec,0.55,41.1449850760508,100,18,soc55_1Cchr_18sec.csv
3.39978416666667,0.0371622568990541,0.0151442937805315,0.00496618229471875,-0.1163,3.7599,3.7462,3.36,0.0101184052579365,122.39223,soc55_1Cchr_36sec,0.55,43.8329372000149,100,36,soc55_1Cchr_36sec.csv
3.39980652777778,0.037716021338462,0.014151045963124,0.00638955363000634,-0.1172,3.76,3.735,3.36,0.0202369436177249,244.78607,soc55_1Cchr_72sec,0.55,46.0830796273522,100,72,soc55_1Cchr_72sec.csv
6.79923833333333,0.035879256036206,0.0162513227943796,0.00225058990393645,-0.2301,3.76,3.7526,3.36,0.00505895709325397,61.193145,soc55_2Cchr_9sec,0.55,36.4556138787518,100,9,soc55_2Cchr_9sec.csv
6.79940194444444,0.0363089488769496,0.0145760710013003,0.00330531473501212,-0.2316,3.7599,3.7462,3.36,0.0101181576554233,122.389235,soc55_2Cchr_18sec,0.55,37.0555382411376,100,18,soc55_2Cchr_18sec.csv
10.1992716666667,0.0356707269333431,0.0144348303314145,0.002112949053281,-0.3451,3.7599,3.7493,3.36,0.00758874379960317,91.793445,soc55_3Cchr_9sec,0.55,32.2880055837821,100,9,soc55_3Cchr_9sec.csv
